duration,actor1_fb_likes,actor2_fb_likes,actor3_fb_likes,budget,movie_fb_likes,actor4_fb_likes,director_fb_likes,cast_total_fb_likes,imdb
2.8381,-0.20169,0.80677,0.28179,4.1038,0.82073,-0.13393,1.4298,0.43191,1
2.4427,4.4112,-0.21446,0.58813,5.4501,-0.34584,1.5948,-0.29424,1.9341,1
1.52,0.19712,1.3463,-0.25432,4.2748,2.995,1.8782,0.15111,0.80897,1
2.223,2.1513,1.1536,6.2045,4.3816,6.2982,5.9309,5.5378,4.2298,1
0.81697,-0.1751,-0.42642,-0.52696,4.6744,0.44442,0.48956,-0.31818,0.1579,1
1.8715,-0.53403,-0.0025106,2.1199,4.5526,-0.40438,-0.24729,-0.093737,1.5311,1
1.2124,1.8854,4.2366,0.97107,4.3816,4.3748,2.5301,0.99448,4.3961,1
1.7397,0.55604,-0.27227,-0.54279,4.3816,-0.14096,-0.58341,-0.37069,1.9218,1
3.0578,-0.028872,2.117,1.7625,4.3816,7.678,1.1414,0.15111,1.5391,1
2.4427,-0.61379,-0.52276,3.9069,3.5055,-0.39601,0.60292,0.15111,0.66055,1
-0.32541,0.19712,-0.15666,-0.58313,3.3131,-0.31657,0.29117,-0.33995,0.0077517,1
1.6518,4.4112,0.19017,1.2774,3.8474,-0.35002,-0.30397,-0.29424,1.8204,1
1.6079,4.4112,0.26725,0.76684,3.6337,1.4479,-0.30397,-0.29424,1.7122,1
1.3003,1.0878,1.0765,0.17967,3.8474,4.3748,0.092791,0.15111,1.0638,1
1.6079,-0.48085,-0.48422,-0.30537,3.8474,-0.44201,-0.24729,-0.42564,0.35634,1
2.6184,1.8854,1.3463,0.97107,3.7405,4.5839,6.7811,0.99448,4.2849,1
0.99272,4.4112,0.24798,0.05203,4.3816,1.866,0.40454,-0.37885,1.9025,1
-0.32541,0.42311,0.71043,0.05203,3.8474,1.1134,-0.10559,-0.39626,0.24013,1
2.223,-0.082046,0.34432,1.4816,4.3816,2.1587,-0.49187,1.7018,0.18583,1
1.7397,0.42311,2.117,-0.22879,3.9542,1.7824,-0.35074,-0.32117,0.54113,1
1.8715,0.064183,0.4214,0.00097211,3.3131,0.15173,-0.33742,1.5114,0.33359,1
3.1896,-0.082046,0.34432,1.4816,3.8474,2.9114,-0.49187,1.7018,0.18583,1
-0.017849,-0.26816,0.82604,-0.55326,2.8857,-0.4211,-0.58341,-0.41231,1.3728,1
3.8487,-0.10863,-0.17593,0.61366,3.4627,-0.40438,-0.32693,1.7018,0.06127,1
3.5411,2.9489,1.9243,-0.20326,3.3131,0.52805,0.0077699,1.4298,1.1801,1
1.476,0.55604,3.2731,4.1622,4.3816,2.4514,0.29117,-0.42183,2.7258,1
0.77303,-0.1751,1.1536,-0.27984,3.5055,1.2807,-0.048911,-0.30268,0.52426,0
0.46547,-0.52073,-0.1952,-0.30537,2.2447,5.7128,0.74462,-0.34811,0.11615,1
1.3003,0.19712,-0.17593,1.3795,3.3131,2.7859,1.8782,0.15111,0.51443,1
0.94878,-0.53403,-0.0025106,2.1199,3.3131,-0.42946,-0.27563,-0.093737,1.1211,1
3.5851,1.8854,0.016758,0.077558,3.3131,3.4131,0.57458,-0.17535,1.3201,1
